,link,predicted label
0,https://www.hamshahrionline.ir/news/503910/پرترافیک-ترین-جاده-های-ایران-پس-از-پایان-ممنوعیت-ترددهای-بین-استانی,10
1,https://www.hamshahrionline.ir/news/503441/نخستین-کاروان-حج-۹۹-ششم-تیر-اعزام-می-شود,1
2,https://www.hamshahrionline.ir/news/503002/ممنوعیت-ترددهای-بین-استانی-لغو-شد,10
3,https://www.hamshahrionline.ir/news/502442/نکات-ضدکرونایی-که-باید-در-سفرهای-ضروری-رعایت-کنید,5
4,https://www.hamshahrionline.ir/news/499583/چطور-بفهمیم-ممنوع-الخروجیم-امکان-اطلاع-از-ممنوع-الخروجی-فراهم,9
5,https://www.hamshahrionline.ir/news/499530/ممنوعیت-تردد-پلاک-های-غیربومی-تا-کی-ادامه-دارد,10
6,https://www.hamshahrionline.ir/news/498104/مردم-کدام-استان-ها-در-نوروز-بیشتر-به-مازندران-سفر-کردند-تردد,10
7,https://www.hamshahrionline.ir/news/497814/پیشنهاد-وزیر-گردشگری-برای-تعیین-تعطیلی-پس-از-کرونا,1
8,https://www.hamshahrionline.ir/news/496981/وضعیت-تردد-در-محورهای-برون-شهری-کشور-در-شبانه-روز-گذشته,10
9,https://www.hamshahrionline.ir/news/496976/کاهش-۵۷-درصدی-ترددها-۳۰-هزار-خودرو-هنوز-به-شهرهای-مبدأ-بازنگشته-اند,10
10,https://www.hamshahrionline.ir/news/496543/کاهش-۶۲-درصدی-سفرها-در-۱۵-روز-گذشته-۹۰-هزار-خودرو-از-آغاز-فاصله-گذاری,10
11,https://www.hamshahrionline.ir/news/496296/چقدر-از-بار-ترافیکی-جاده-ها-با-طرح-فاصله-گذاری-اجتماعی-کم-شد,10
12,https://www.hamshahrionline.ir/news/496290/ممنوعیت-ورود-خودروهای-پلاک-شهرستان-به-تهران-توقیف-یک-ماهه-خودروهای,2
13,https://www.hamshahrionline.ir/news/496271/وضعیت-راه-ها-بارش-برف-و-باران-در-محورهای-١٣-استان,10
14,https://www.hamshahrionline.ir/news/495410/خروج-خودروها-از-استان-تهران-ممنوع-شد-کدام-خودروها-مستثنی-شدند,2
15,https://www.hamshahrionline.ir/news/495215/هر-۸۰-دقیقه-یک-نفر-در-تصادفات-نوروزی-فوت-می-کند-آمار-مصدومان,1
16,https://www.hamshahrionline.ir/news/494964/سفرهای-نوروزی-چقدر-کاهش-یافتند-ماموران-پلیس-در-ماموریت-ها,10
17,https://www.hamshahrionline.ir/news/494915/آمار-عجیب-مسافران-تهرانی-دارای-علائم-کرونا-که-از-خروج-آنها-جلوگیری,1
18,https://www.hamshahrionline.ir/news/494819/شیوه-مجرمانه-و-غیراخلاقی-برخی-مسافران-نوروزی-برای-ورود-به-شهرها,1
19,https://www.hamshahrionline.ir/news/494697/فیلم-وضعیت-ورودی-شهرهای-شیراز-و-رشت-در-ایام-نوروز,13
20,https://www.hamshahrionline.ir/news/494472/فیلم-نام-این-مسافران-را-چه-باید-گذاشت,1
21,https://www.hamshahrionline.ir/news/494490/خروج-۳-میلیون-نفر-از-۱۳-استان-کشور-در-۴-روز-چه-تعداد-علائم,5
22,https://www.hamshahrionline.ir/news/494492/فیلم-اینجا-جاده-تهران-مشهد-آمده-ایم-به-امید-خدا-کرونا,1
23,https://www.hamshahrionline.ir/news/494207/ورود-۵۹-هزار-خودرو-به-مشهد-باید-در-انتظار-فاجعه-انسانی-بنشینیم,1
24,https://www.hamshahrionline.ir/news/494081/سفرها-و-بازدیدها-در-عید-کرونایی-این-آگهی-ترحیم-از-آینده-خبر,1
25,https://www.hamshahrionline.ir/news/494065/مقایسه-تردد-در-جاده-ها-طی-۲۴-ساعت-اخیر-با-مدت-مشابه-در-سال-گذشته,10
26,https://www.hamshahrionline.ir/news/494035/پیشنهاد-یک-نماینده-به-خودروهای-غیر-بومی-بنزین-ندهید,2
27,https://www.hamshahrionline.ir/news/493878/سفر-نروید-هفته-اول-فروردین-اوج-اپیدمی-کرونا-در-ایران-است,5
28,https://www.hamshahrionline.ir/news/493894/عکس-وضعیت-عجیب-عوارضی-تهران-قم-مردم-کرونا-را-جدی-نگرفته-اند,6
29,https://www.hamshahrionline.ir/news/493784/فیلم-ترافیک-در-جاده-های-هراز-و-فیروزکوه-مردمی-که-توجهی-به,1
30,https://www.hamshahrionline.ir/news/504089/پاسخ-توییتری-وزیر-ارتباطات-به-خبرنگار-AP-درباره-برنامه-فضایی,9
31,https://www.hamshahrionline.ir/news/504032/معلوم-نیست-وام-یک-میلیونی-به-حساب-چه-کسانی-رفته-است,5
32,https://www.hamshahrionline.ir/news/503988/فساد-ساختاری-تراژدی-هولناکی-که-شرکت-های-داروسازی-رانتی-برای,6
33,https://www.hamshahrionline.ir/news/504053/فیلم-تصاویر-جدید-و-جزئیات-بیشتر-از-پرتاب-ماهواره-نور,7
34,https://www.hamshahrionline.ir/news/504023/روحانی-فردی-بعد-گزارش-اشتباهش-عذرخواهی-کرده-اما-عده-ای-دنبال,6
35,https://www.hamshahrionline.ir/news/504009/گسترش-قلمرو-سپاه-به-فضا-سرلشکر-سلامی-امروز-می-توانیم-جهان,7
36,https://www.hamshahrionline.ir/news/504013/عکس-دست-نوشته-فرمانده-کل-سپاه-پس-از-پرتاب-ماهواره-بر-قاصد,7
37,https://www.hamshahrionline.ir/news/504014/روایت-روحانی-از-تماس-هایی-که-ساعت-۱۲-شب-با-وزارتخانه-ها-می-گیرد,1
38,https://www.hamshahrionline.ir/news/504005/نخستین-فیلم-از-پرتاب-موفق-اولین-ماهواره-نظامی-ایران,7
39,https://www.hamshahrionline.ir/news/503983/درگیری-لفظی-شدید-بن-سلمان-و-پوتین-بر-سر-نفت,9
40,https://www.hamshahrionline.ir/news/503973/جزئیات-نخستین-واریزی-تسهیلات-کرونایی-در-آخر-هفته-تسهیلات-بلاعوض,5
41,https://www.hamshahrionline.ir/news/503977/پزشکیان-چطور-نماینده-بداند-به-چه-جرمی-ردصلاحیت-شده-خلاف-شرع,5
42,https://www.hamshahrionline.ir/news/503933/برخی-کاسب-کرونا-شده-اند-واکنش-به-شوک-نفتی-اخیر-عبادات-رمضان,1
43,https://www.hamshahrionline.ir/news/503928/تصاویر-جزئیات-جدید-از-موفقیت-ماهواره-ای-سپاه-کدام-آیه-روی,7
44,https://www.hamshahrionline.ir/news/503915/فهرست-متقاضیان-وام-یک-میلیون-تومانی-تحویل-بانک-مرکزی-شد-وام,5
45,https://www.hamshahrionline.ir/news/503900/موافقت-مجلس-با-کلیات-طرح-اصلاح-قوانین-انتخابات-متن-کامل-طرح,5
46,https://www.hamshahrionline.ir/news/503877/پرتاب-موفق-نخستین-ماهواره-نظامی-جمهوری-اسلامی-ایران-توسط-سپاه,7
47,https://www.hamshahrionline.ir/news/503842/دو-کاندیدای-احتمالی-اصلاح-طلبان-بعد-از-پایان-کرونا-برای-انتخابات,5
48,https://www.hamshahrionline.ir/news/503839/تشکر-فرمانده-معظم-کل-قوا-از-عملکرد-سپاه-پاسداران-انقلاب-اسلامی,7
49,https://www.hamshahrionline.ir/news/503829/روایت-کرملین-از-تماس-تلفنی-پوتین-و-روحانی,1
50,https://www.hamshahrionline.ir/news/503819/توضیحات-دادستان-کردستان-درباره-اجرای-حکم-قصاص-جوان-سقزی,9
51,https://www.hamshahrionline.ir/news/503783/تأیید-تخلف-در-پرونده-ارزهای-دولتی-ماجرا-چیست-بالاخره-دلاری,6
52,https://www.hamshahrionline.ir/news/503790/تعجب-صادقی-از-خبررسانی-خبرگزاری-اصولگرا-درباره-محکومیتش-حکمم,9
53,https://www.hamshahrionline.ir/news/503786/سپهبد-قرنی-از-کودتا-تا-ترور-تصاویر-تاریخی-مراسم-ترحیم-قرنی,1
54,https://www.hamshahrionline.ir/news/503803/واکنش-آیت-الله-جزایری-به-اظهارات-منتسب-به-او-درباره-امام-زمان,9
55,https://www.hamshahrionline.ir/news/503801/بازخوانی-پیام-امام-خمینی-به-سپاه-پاسداران-وارد-سیاست-نشوید,7
56,https://www.hamshahrionline.ir/news/503774/چه-کسی-پیگیر-پرونده-محمود-صادقی-و-محکومیتش-بود-ارتباطی-به,5
57,https://www.hamshahrionline.ir/news/503772/جنجال-های-سیاسی-جهانپور-آقای-سخنگو-چطور-از-آمار-کرونا-به-چین,1
58,https://www.hamshahrionline.ir/news/503800/انتقاد-وزیر-احمدی-نژاد-از-دولت-روحانی-کرونا-را-اول-جدی-نگرفتند,6
59,https://www.hamshahrionline.ir/news/503798/مدارس-و-دانشگاه-ها-تا-پایان-سال-تحصیلی-تعطیل-باشند,8
60,https://www.hamshahrionline.ir/news/503954/هوای-پایتخت-امروز-مطلوب-است,3
61,https://www.hamshahrionline.ir/news/503944/کرونا-فراموش-شد-ادامه-فعالیت-بازار-فروش-جانوران-زنده-و-وحشی,1
62,https://www.hamshahrionline.ir/news/503913/ایجاد-۵۰-دریاچه-جدید-در-کشور-پس-از-بارندگی-های-اخیر,1
63,https://www.hamshahrionline.ir/news/503859/پساب-های-تصفیه-شده-به-دریاچه-ارومیه-سرایز-می-شود,1
64,https://www.hamshahrionline.ir/news/503668/جزئیات-مرگ-شترهای-جاسک-نمونه-کبد-شترها-به-آزمایشگاه-ارسال-شد,9
65,https://www.hamshahrionline.ir/news/503583/علت-نورهای-آبی-عجیب-در-برخی-سواحل-چیست,1
66,https://www.hamshahrionline.ir/news/503460/در-کدام-استان-های-کشور-باران-می-بارد,11
67,https://www.hamshahrionline.ir/news/503525/توصیه-های-یک-دامپزشک-در-فصل-زادآوری-حیات-وحش,1
68,https://www.hamshahrionline.ir/news/503503/هوای-مطلوب-در-پایتخت,3
69,https://www.hamshahrionline.ir/news/503552/فیلم-کویر-در-مرکز-ایران-دریا-شد-ورود-آب-به-تل-شیطان-پس-از,1
70,https://www.hamshahrionline.ir/news/503395/زمین-در-بهترین-شرایط-خود-طی-۵۰-سال-گذشته,6
71,https://www.hamshahrionline.ir/news/503223/قصه-های-درختی,13
72,https://www.hamshahrionline.ir/news/503127/متخصصان-در-روز-جهانی-زمین-گردهم-می-آیند,6
73,https://www.hamshahrionline.ir/news/503063/کیفیت-هوای-تهران-قابل-قبول-است,3
74,https://www.hamshahrionline.ir/news/503106/هشدار-سازمان-هواشناسی-نسبت-متلاطم-شدن-دریا-افزایش-ارتفاع-موج,11
75,https://www.hamshahrionline.ir/news/503026/بارش-ها-تا-پایان-هفته-ادامه-دارد-کدام-مناطق-کاهش-دما-دارند,11
76,https://www.hamshahrionline.ir/news/502935/پاسخی-به-یک-ادعای-عجیب-کرونا-بر-زلزله-ها-هم-اثر-گذاشته-است,9
77,https://www.hamshahrionline.ir/news/502653/ورود-دو-سامانه-بارشی-جدید-طی-هفته,11
78,https://www.hamshahrionline.ir/news/502773/حمایت-۱۰-میلیون-یورویی-برای-احیای-تالاب-های-بین-المللی-هامون,6
79,https://www.hamshahrionline.ir/news/502791/امپراتوری-پنگوئن-ها-در-شهر-کیپ-تاون-به-دنبال-شیوع-کرونا,13
80,https://www.hamshahrionline.ir/news/502560/آلودگی-شدید-هوا-در-کی-یف,1
81,https://www.hamshahrionline.ir/news/502692/تهران-نخستین-ماه-سال-را-بدون-هوای-ناسالم-پشت-سر-گذاشت,3
82,https://www.hamshahrionline.ir/news/502822/ایران-اولویت-سازمان-محیط-زیست-برای-تکثیر-در-اسارت-است,6
83,https://www.hamshahrionline.ir/news/502410/پسماندهای-کرونایی-با-خودروهای-مخصوص-حمل-می-شود,2
84,https://www.hamshahrionline.ir/news/502056/۱۷-آوریل-روز-جهانی-خفاش-ها-مبارک,6
85,https://www.hamshahrionline.ir/news/502313/حمایت-سازمان-ملل-متحد-از-سرمایه-گذاری-سبز,6
86,https://www.hamshahrionline.ir/news/502247/بارش-شدید-باران-در-۸-استان-در-سه-روز-آینده,11
87,https://www.hamshahrionline.ir/news/502194/چرا-آلاینده-ناکس-در-تهران-طی-روزهای-کرونایی-تغییری-نکرده-است,13
88,https://www.hamshahrionline.ir/news/502298/کیفیت-هوای-تهران-چگونه-است,3
89,https://www.hamshahrionline.ir/news/502180/کاهش-۴۵-درصدی-آلودگی-هوا-در-شهرهای-اروپایی,10
90,https://www.hamshahrionline.ir/news/504116/قهرمان-شطرنج-دنیا-فیروزجا-عصبی-ام-کرد-می-خواستم-او-را-له-کنم,1
91,https://www.hamshahrionline.ir/news/504062/مالک-شهر-خودرو-پرسپولیس-را-تهدید-کرد,12
92,https://www.hamshahrionline.ir/news/503250/راه-اندازی-کتابخانه-ورزش-در-منطقه۱۸,5
93,https://www.hamshahrionline.ir/news/504048/جواب-رد-طارمی-به-پیشنهاد-نجومی-چینی-ها,9
94,https://www.hamshahrionline.ir/news/504037/عکس-پاسخ-سخت-آزمون-و-طارمی-به-کری-خوانی-سرمربی-چین,13
95,https://www.hamshahrionline.ir/news/504031/اسلامیان-تاج-در-آینده-ای-نزدیک-برمی-گردد,5
96,https://www.hamshahrionline.ir/news/504006/پیراهن-اسطورۀ-بسکتبال-جهان-۲۱۶-هزار-دلار-برای-امور-خیریه-فروخته,0
