,link,predicted label
0,https://www.hamshahrionline.ir/news/503910/پرترافیک-ترین-جاده-های-ایران-پس-از-پایان-ممنوعیت-ترددهای-بین-استانی,9
1,https://www.hamshahrionline.ir/news/503441/نخستین-کاروان-حج-۹۹-ششم-تیر-اعزام-می-شود,1
2,https://www.hamshahrionline.ir/news/503002/ممنوعیت-ترددهای-بین-استانی-لغو-شد,9
3,https://www.hamshahrionline.ir/news/502442/نکات-ضدکرونایی-که-باید-در-سفرهای-ضروری-رعایت-کنید,1
4,https://www.hamshahrionline.ir/news/499583/چطور-بفهمیم-ممنوع-الخروجیم-امکان-اطلاع-از-ممنوع-الخروجی-فراهم,1
5,https://www.hamshahrionline.ir/news/499530/ممنوعیت-تردد-پلاک-های-غیربومی-تا-کی-ادامه-دارد,9
6,https://www.hamshahrionline.ir/news/498104/مردم-کدام-استان-ها-در-نوروز-بیشتر-به-مازندران-سفر-کردند-تردد,9
7,https://www.hamshahrionline.ir/news/497814/پیشنهاد-وزیر-گردشگری-برای-تعیین-تعطیلی-پس-از-کرونا,1
8,https://www.hamshahrionline.ir/news/496981/وضعیت-تردد-در-محورهای-برون-شهری-کشور-در-شبانه-روز-گذشته,9
9,https://www.hamshahrionline.ir/news/496976/کاهش-۵۷-درصدی-ترددها-۳۰-هزار-خودرو-هنوز-به-شهرهای-مبدأ-بازنگشته-اند,9
10,https://www.hamshahrionline.ir/news/496543/کاهش-۶۲-درصدی-سفرها-در-۱۵-روز-گذشته-۹۰-هزار-خودرو-از-آغاز-فاصله-گذاری,9
11,https://www.hamshahrionline.ir/news/496296/چقدر-از-بار-ترافیکی-جاده-ها-با-طرح-فاصله-گذاری-اجتماعی-کم-شد,9
12,https://www.hamshahrionline.ir/news/496290/ممنوعیت-ورود-خودروهای-پلاک-شهرستان-به-تهران-توقیف-یک-ماهه-خودروهای,6
13,https://www.hamshahrionline.ir/news/496271/وضعیت-راه-ها-بارش-برف-و-باران-در-محورهای-١٣-استان,9
14,https://www.hamshahrionline.ir/news/495410/خروج-خودروها-از-استان-تهران-ممنوع-شد-کدام-خودروها-مستثنی-شدند,6
15,https://www.hamshahrionline.ir/news/495215/هر-۸۰-دقیقه-یک-نفر-در-تصادفات-نوروزی-فوت-می-کند-آمار-مصدومان,1
16,https://www.hamshahrionline.ir/news/494964/سفرهای-نوروزی-چقدر-کاهش-یافتند-ماموران-پلیس-در-ماموریت-ها,9
17,https://www.hamshahrionline.ir/news/494915/آمار-عجیب-مسافران-تهرانی-دارای-علائم-کرونا-که-از-خروج-آنها-جلوگیری,1
18,https://www.hamshahrionline.ir/news/494819/شیوه-مجرمانه-و-غیراخلاقی-برخی-مسافران-نوروزی-برای-ورود-به-شهرها,2
19,https://www.hamshahrionline.ir/news/494697/فیلم-وضعیت-ورودی-شهرهای-شیراز-و-رشت-در-ایام-نوروز,2
20,https://www.hamshahrionline.ir/news/494472/فیلم-نام-این-مسافران-را-چه-باید-گذاشت,1
21,https://www.hamshahrionline.ir/news/494490/خروج-۳-میلیون-نفر-از-۱۳-استان-کشور-در-۴-روز-چه-تعداد-علائم,1
22,https://www.hamshahrionline.ir/news/494492/فیلم-اینجا-جاده-تهران-مشهد-آمده-ایم-به-امید-خدا-کرونا,1
23,https://www.hamshahrionline.ir/news/494207/ورود-۵۹-هزار-خودرو-به-مشهد-باید-در-انتظار-فاجعه-انسانی-بنشینیم,9
24,https://www.hamshahrionline.ir/news/494081/سفرها-و-بازدیدها-در-عید-کرونایی-این-آگهی-ترحیم-از-آینده-خبر,1
25,https://www.hamshahrionline.ir/news/494065/مقایسه-تردد-در-جاده-ها-طی-۲۴-ساعت-اخیر-با-مدت-مشابه-در-سال-گذشته,9
